QuestionId,QuestionTitle,QuestionBody,QuestionTags,QuestionDate,AcceptedAnswerId,AnswerId,Answer Body,AnswerDate
3163234.0,"Does anyone know what ""Quantum Computing"" is?","In physics, its the ability for particles to exist in multiple/parallel dynamic states at a particular point in time. In computing, would it be the ability of a data bit to equal 1 or 0 at the same time, a third value like NULL[unknown] or multiple values?.. How can this technology be applied to: computer processors, programming, security, etc.?.. Has anyone built a practical quantum computer or developed a quantum programming language where, for example, the program code dynamically changes or is autonomous?",<language-agnostic><quantum-computing>,07/02/2010 04:28,3175933.0,3175933.0,"I have done research in quantum computing, and here is what I hope is an informed answer. It is often said that qubits as you see them in a quantum computer can exist in a ""superposition"" of 0 and 1. This is true, but in a more subtle way than you might first guess. Even with a classical computer with randomness, a bit can exist in a superposition of 0 and 1, in the sense that it is 0 with some probability and 1 with some probability. Just as when you roll a die and don't look at the outcome, or receive e-mail that you haven't yet read, you can view its state as a superposition of the possibilities. Now, this may sound like just flim-flam, but the fact is that this type of superposition is a kind of parallelism and that algorithms that make use of it can be faster than other algorithms. It is called randomized computation, and instead of superposition you can say that the bit is in a probabilistic state. The difference between that and a qubit is that a qubit can have a fat set of possible superpositions with more properties. The set of probabilistic states of an ordinary bit is a line segment, because all there is a probability of 0 or 1. The set of states of a qubit is a round 3-dimensional ball. Now, probabilistic bit strings are more complicated and more interesting than just individual probabilistic bits, and the same is true of strings of qubits. If you can make qubits like this, then actually some computational tasks wouldn't be any easier than before, just as randomized algorithms don't help with all problems. But some computational problems, for example factoring numbers, have new quantum algorithms that are much faster than any known classical algorithm. It is not a matter of clock speed or Moore's law, because the first useful qubits could be fairly slow and expensive. It is only sort-of parallel computation, just as an algorithm that makes random choices is only in weak sense making all choices in parallel. But it is ""randomized algorithms on steroids""; that's my favorite summary for outsiders. Now the bad news. In order for a classical bit to be in a superposition, it has be a random choice that is secret from you. Once you look a flipped coin, the coin ""collapses"" to either heads for sure or tails for sure. The difference between that and a qubit is that in order for a qubit to work as one, its state has to be secret from the rest of the physical universe, not just from you. It has to be secret from wisps of air, from nearby atoms, etc. On the other hand, for qubits to be useful for a quantum computer, there has to be a way to manipulate them while keeping their state a secret. Otherwise its quantum randomness or quantum coherence is wrecked. Making qubits at all isn't easy, but it is done routinely. Making qubits that you can manipulate with quantum gates, without revealing what is in them to the physical environment, is incredibly difficult. People don't know how to do that except in very limited toy demonstrations. But if they could do it well enough to make quantum computers, then some hard computational problems would be much easier for these computers. Others wouldn't be easier at all, and great deal is unknown about which ones can be accelerated and by how much. It would definitely have various effects on cryptography; it would break the widely used forms of public-key cryptography. But other kinds of public-key cryptography have been proposed that could be okay. Moreover quantum computing is related to the quantum key distribution technique which looks very safe, and secret-key cryptography would almost certainly still be fairly safe.",07/04/2010 19:24
7118933.0,Need an explanation for a quantum model,"When I am reading chapter 10 of Dasgupta I faced a paragraph that I can't understand: An electron can be in a ground state or in an excited state. In the Dirac notation used in quantum physics, these are denoted 0 and 1. But the superposition principle says that, in fact, the electron is in a state that is a linear combination of these two: a0|0> + a1|1>. This would make immediate sense if the a's were probabilities, nonnegative real numbers adding to 1. But the superposition principle insists that they can be arbitrary complex numbers, as long as the squares of their norms add up to 1! Can someone describe me last 3 lines?",<algorithm><quantum-computing>,8/19/2011 8:33,7119177.0,7119177.0,"I think the author is trying to point out a difference between the quantum model and the standard assumptions you might have about probabilities. Suppose, for example, that the electron is either up or down. In a deterministic universe, it would either be 100% up or 100% down. If we assumed that the electron probabilistically chose to be either up or down with some probabilities, then we might say that, for example, the electron was 50% up and 50% down. When using bra-ket notation for the above, you might be tempted to say that we would say that the particle is 90% up by writing 0.5 |up&gt; + 0.5|down&gt; The intuition being that the electron is simultaneously 50% up and 50% down. However, this would be incorrect. When dealing with quantum states, the configuration of a particle is related to something called the wavefunction, and it is the square of the wavefunction that determines probabilities, not the wavefunction itself. Thus if we wanted to write out a quantum state where a particle has a 50% chance of being up and a 50% chance of being down, we'd represent that as 0.707 |up> + 0.707 |down> Since 0.707 is about the square root of 0.5, so if we square the coefficients assigned to up and down we get back the classical probabilities. As long as the squares of the coefficients sum to one, the coefficients are legal since their square gives back a probability distribution. Of course, it's actually a bit trickier than this. The coefficients in quantum states can be complex numbers as well. For example, this is a perfectly legal quantum configuration: (0.707 + 0.707i) |up&gt; + 0 |down&gt; Here, the coefficient for up is a complex number. To get the probability of seeing up, we compute the complex conjugate of the coefficient: (0.707 + 0.707i)(0.707 - 0.707i) = (0.5 + 0.5) = 1 So in this case the probability of seeing up is 1 and the probability of seeing down is 0^2 = 0. Since this sums to one, this is a valid quantum state. To summarize: a probability distribution is a way of assigning real-valued weights to outcomes so that the weights sum to one. A quantum state is a way of assigning complex-valued weights to outcomes so that the sum of the product of each coefficient with it's complex conjugate is one. Phew! Haven't had to think about that in a while! Hope this helps!",8/19/2011 8:54
9672369.0,floor and ceil from QCL (Quantum Computer Language),"I'm working on QCL and some questions came up about internal functions. I'd like to know what the operators floor(something) and ceil(something) are. I know they are related to math operations, but what do they do exactly?",<operators><quantum-computing><qcl>,03/12/2012 18:04,9672397.0,9672397.0,"Floor removes the decimal point, ceil turns the decimal part into .9999 repeating if it's already there (which is the same as a whole number). So floor(4.6) loses the .6, ceil(4.6) becomes 4.9999... or 5. Also, ceil(5.0) will return 5, as the decimal part is 0.",03/12/2012 18:06
9894420.0,"Operator ""measure"" in QCL (Quantum Computing Language)","It's been a while since I got into QCL but I ran into some difficulties by trying to figure out the functioning of measure regX or measure regX,m. What does this do on the quantum registers? And the m integer?",<quantum-computing><qcl>,3/27/2012 17:17,9926184.0,9926184.0,"In Bernhard's Ãmer PhD thesis Structured Quantum Programming, in Appendix A.3.1.4 clearly states that measure regX -- performs measurement on register regX and measure regX,m -- performs measurement on register regX and writes the result of the measurement to classical variable m. If you do not understand the model behind quantum measurement it is difficult to fully understand what QCL does. But roughly speaking measurement chooses randomly one of the basis quantum states which spans the quantum superposition in which regX is and writes it to variable m.",3/29/2012 13:20
12567514.0,Quantum computers and algorithm performance,"I have a question. Gradually quantum computers will emerge someday. So, nowadays making algorithm efficient is important; I mean, making it optimal to run as fast as possible. But once quantum PC emerges does the algorithm performance improvements are still important? Cheers",<algorithm><quantum-computing>,9/24/2012 14:52,12567721.0,12567721.0,"Quantum algorithms have the possibility of searching a complete number space for an answer in one go, that much is true. However, the algorithm you choose will still determine how many of these steps are needed, and whether you can pack the whole space with useful inputs.",9/24/2012 15:02
13774439.0,Generalization of the Deutsch algorithm,"This problem concerns a straightforward generalization of the Deutsch problem discussed for functions with more than one bit as input. This time, we have a Boolean function f that takes a 4-bit number as input and outputs 0 or 1, i.e., f:{0,1}4â{0,1}. Thus, an input to f is one of 16 possible 4 bit binary numbers: 0000, 0001, 0010, 0011, 0100, 0101, 0110, 0111, 1000, 1001, 1010, 1011, 1100, 1101, 1110, 1111. We are also told that f is one of the following two types: either f is a constant function, i.e., f(x) is the same for all 16 possible values of the input x, or f is a balanced function, i.e., f(x) is 0 for exactly 8 of the possible 16 inputs and f(x) is 1 for the remaining 8 of the possible 16 inputs. we are allowed to do is to use the circuit for f as a ""black box"" by giving an input x to the circuit for f and observing the output f(x). This is called a ""query"" operation. Show that a classical probabilistic algorithm can determine if f is balanced or constant with probability at least 2/3 by using 2 queries. Hint: (Obviously, we cannot do this using a deterministic algorithm. Unless the deterministic algorithm sees the output for at least 9 input values, there is no way for it to find out if the function is balanced or constant). Think about picking the two inputs uniformly and randomly from the set of 16 possible inputs. Your final result could depend probabilistically on the result of these two queries.",<algorithm><probability><quantum-computing>,12/08/2012 04:20,13775208.0,13775208.0,"EDIT: I had calculated some of my probabilities wrongly. Also I've now mentioned that we need to randomly pick 2 distinct inputs for the function f in order to guarantee that, if f is balanced, then we know the probabilities of seeing the various possible outcomes. The fact that the prior probability of the function being constant is not known makes this question harder, because it means we can't directly calculate the probability of success for any algorithm. We will, however, be able to calculate bounds on this probability. I propose the following probabilistic algorithm: Pick two distinct 4-bit values at random, and supply each to the function f. If 0,0 or 1,1 is seen, output ""constant"" with probability 2/3 and ""balanced"" with probability 1/3. Otherwise (if 0,1 or 1,0 is seen), always report ""balanced"". Let's start by looking at something we can actually calculate: conditional probabilities. ""What is P(correct|constant), namely the probability that our algorithm gives the correct answer given that f is constant?"" When f is constant, our algorithm reports the right answer 2/3 of the time. ""What is P(correct|balanced), namely the probability that our algorithm gives the correct answer given that f is balanced?"" When f is balanced, the probability of seeing 0,1 or 1,0 is 2*(8/16 * 8/15) = 8/15, in which case the correct answer will definitely be output. In the remaining 7/15 of cases -- i.e. those in which 0,0 or 1,1 is seen -- the correct answer will be output 1/3 of the time, so the total proportion of correct outputs will be 8/15 * 1 + 7/15 * 1/3 = 31/45 = 2/3 + 1/45 â 0.6889. Now suppose that the prior probability of the function being constant is p. Then the probability that the algorithm gives the correct answer is pCorrect(p) = p*P(correct|constant) + (1-p)*P(correct|balanced). Given that 0 &lt;= p &lt;= 1, pCorrect(p) must be at least min(P(correct|constant), P(correct|balanced)), and at most max(P(correct|constant), P(correct|balanced)). The minimum of 2/3 and 31/45 is 2/3, thus pCorrect is bounded from below at 2/3, for any prior probability of the function being constant. (It might help to think of p as a ""mixing lever"" that controls how much of each term to include. If p = 0 or p = 1, then we effectively just have P(correct|balanced) or P(correct|constant), respectively, and for any in-between value of p, we will have an in-between total.)",12/08/2012 06:41
32037970.0,From an application programmer's perspective - Can Functional Programming be used to program Quantum Computers?,"I'm not an expert in Functional Programming (FP). In fact, I just started learning it. So, here is the real question: Since, FP is derived from Mathematics and not from von. Neumann machine, can this programming style/paradigm be used to program Quantum Computers? This is more from an application programmer's perspective since low-level machine instructions may be completely different.",<functional-programming><quantum-computing>,8/16/2015 17:27,32038459.0,32038459.0,"No. Functional programs still perform classical computation. The functional style as we currently define it has nothing resembling superposition, quantum mechanical gates, or interference. While it is possible to transport the general idea of higher-order and first-class functions into the realm of quantum computation (and people are researching that right now), just as there are quantum Turing machines, as far as I can tell the results are as different from classical functional programming as quantum algorithms are from classical algorithms. For example, in QML if ... then ... else ... is removed in favor of a similar conditional where the condition is a qbit and the result is a superposition of the then and else values. Now, of course quantum computers are Turing-complete and could, in theory, execute any classical algorithm. But why on earth would you do that? We already have classical computers, and they are (and will always be) much more efficient at executing classical computations. The only reason to program a quantum computer is to make it run an algorithm that exploits in a nontrivial way the weirdness of quantum effects. To even express that, one needs a very different language regardless of the level of abstraction at which you work.",8/16/2015 18:24
41831217.0,Qutip commutation relations,"What is the reason the commutation relation fails on the last state N=7 M=6 commutator(position(N),momentum(N))*basis(N,M)==1.0j*basis(N,M) and similarly for the create and destroy commutator?",<python><qutip>,1/24/2017 14:51,41842383.0,41842383.0,"Because you are in a truncated Hilbert space, and your excitation is in the upmost level. Thus a creation operator promotes you out of the Hilbert space.",1/25/2017 2:22
43893163.0,Python â ImportError: cannot import name X,"Iâm trying to run a single python script â which has worked in the past â using a couple modules. Some Googling suggested circular dependencies however that is only relevant for two files importing modules that depend on one another. It seems to boil down to scalarmath not being found but I don't know why. My code is just simple functions defs for calculations and then calling those functions (all in one file). The output of my IDE is: C:\Users\sg15\AppData\Local\Continuum\Anaconda2\python.exe ""P:/Solid State QT/NSMM/simulations/InteractionsOfTLF.py"" Traceback (most recent call last): File ""P:/Solid State QT/NSMM/simulations/InteractionsOfTLF.py"", line 13, in &lt;module&gt; import matplotlib.pyplot as plt File ""C:\Users\sg15\AppData\Local\Continuum\Anaconda2\lib\site-packages\matplotlib\__init__.py"", line 122, in &lt;module&gt; from matplotlib.cbook import is_string_like, mplDeprecation, dedent, get_label File ""C:\Users\sg15\AppData\Local\Continuum\Anaconda2\lib\site-packages\matplotlib\cbook.py"", line 33, in &lt;module&gt; import numpy as np File ""C:\Users\sg15\AppData\Local\Continuum\Anaconda2\lib\site-packages\numpy\__init__.py"", line 185, in &lt;module&gt; from . import add_newdocs File ""C:\Users\sg15\AppData\Local\Continuum\Anaconda2\lib\site-packages\numpy\add_newdocs.py"", line 13, in &lt;module&gt; from numpy.lib import add_newdoc File ""C:\Users\sg15\AppData\Local\Continuum\Anaconda2\lib\site-packages\numpy\lib\__init__.py"", line 8, in &lt;module&gt; from .type_check import * File ""C:\Users\sg15\AppData\Local\Continuum\Anaconda2\lib\site-packages\numpy\lib\type_check.py"", line 11, in &lt;module&gt; import numpy.core.numeric as _nx File ""C:\Users\sg15\AppData\Local\Continuum\Anaconda2\lib\site-packages\numpy\core\__init__.py"", line 20, in &lt;module&gt; from . import scalarmath ImportError: cannot import name scalarmath Process finished with exit code 1",<python><windows><numpy><anaconda><qutip>,05/10/2017 12:56,43917952.0,43917952.0,"It turns out the solution was a classic uninstall reinstall jobby. It seemed that the packages became incompatible with a recent Windows update or an update to the packages themselves. Steps to fix (in case you need them): 1) Run python in a separate program, and try to import a library e.g. import numpy. You should still see the output error message in the image that was shown in the question. This indicates that it is not a local problem to our code. Close that python program/console/whatever. 2) Open command prompt (cmd) and run conda (command: conda). Then run the commands conda install numpy and conda install matplotlib. Click yes [y] to any options that are presented. These commands depend on which libraries were causing you trouble, of course. 3) In your python IDE's console, import the libraries again i.e. import numpy and import matplotlib. Run your code and you it should build just fine (providing you have no other bugs) Note: You may have to uninstall the offending libraries giving you trouble in your conda environment in the Anaconda Navigator. To do this, select your conda environment (mine was called qutip) and remove the troublesome packages. They were matplotlib and numpy in this case.",05/11/2017 14:14
47710012.0,"A book that contains, Shor's algorithm, McEliece cryptosystem, Lattice-based cryptography, Discrete logarithm","I am looking for a book that contains descriptions of the topics: Shor's algorithm, McEliece cryptosystem, Lattice-based cryptography, Discrete logarithm; and possibly others. Does anyone know a single book or a few that would contain there topics?",<algorithm><encryption><cryptography><quantum-computing>,12/08/2017 07:57,47710199.0,47710199.0,"There is ""Post-Quantum Cryptography"" published by Daniel J. Bernstein. The book is more of a general overview and doesn't go that far into details. It contains sections about lattice based, hash based and code based cryptography. Shor's algorithm as well as discrete logarithm aren't handled in depth, but there is a general overview. I think the best way to get into the details is by studying the respective scientific papers.",12/08/2017 08:13
